Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
47,515000,2,2,1260,"1374 Midland Avenue UNIT PH07,Bronxville, NY 10708",True,https://www.trulia.com/p/ny/bronxville/1374-midland-ave-7-bronxville-ny-10708--2191158098,,
48,499900,5,2,2044,"458 S 6th Avenue,Mount Vernon, NY 10550",True,https://www.trulia.com/p/ny/mount-vernon/458-s-6th-ave-mount-vernon-ny-10550--1005021757,40.8995898,-73.8347178
49,1575000,4,3,2823,"73 Brevoort Lane,Rye, NY 10580",True,https://www.trulia.com/p/ny/rye/73-brevoort-ln-rye-ny-10580--2009130154,40.947382,-73.7116349
50,819000,6,3,2688,"18 Cosgrove Street,Glen Cove, NY 11542",True,https://www.trulia.com/p/ny/glen-cove/18-cosgrove-st-glen-cove-ny-11542--2458577396,,
51,349000,2,2,,"2355 Pershing Boulevard UNIT 709,Baldwin, NY 11510",True,https://www.trulia.com/p/ny/baldwin/2355-pershing-blvd-709-baldwin-ny-11510--2625409359,,
52,369000,2,2,,"34 Pearsall Avenue UNIT 2D,Glen Cove, NY 11542",True,https://www.trulia.com/p/ny/glen-cove/34-pearsall-ave-2d-glen-cove-ny-11542--2010325728,,
53,1650000,4,3,2076,"8 Hayward Place,Rye, NY 10580",True,https://www.trulia.com/p/ny/rye/8-hayward-pl-rye-ny-10580--2009130609,40.9633247,-73.6847936
54,695000,3,2,1584,"12 Sunset Drive,Yonkers, NY 10704",True,https://www.trulia.com/p/ny/yonkers/12-sunset-dr-yonkers-ny-10704--2009203111,40.9245732,-73.8734278
55,125000,1,1,750,"11 Park Avenue UNIT 2W,Mount Vernon, NY 10550",True,https://www.trulia.com/p/ny/mount-vernon/11-park-ave-2w-mount-vernon-ny-10550--2173418666,,
56,460000,3,2,1756,"105 Vincent Avenue,Lynbrook, NY 11563",True,https://www.trulia.com/p/ny/lynbrook/105-vincent-ave-lynbrook-ny-11563--2010385550,40.65455075,-73.66663336772186
57,675000,4,3,,"173 Warren Street,Uniondale, NY 11553",True,https://www.trulia.com/p/ny/uniondale/173-warren-st-uniondale-ny-11553--2010352423,40.718035,-73.60675258120986
58,417000,3,1,,"2994 Dorlon,Baldwin, NY 11510",True,https://www.trulia.com/p/ny/baldwin/2994-dorlon-pl-baldwin-ny-11510--2010291966,40.637521,-73.6061549
