price,bed,bath,feet,address,new_flag,company,latitude,longitude,distance
4900000,3.0,3.0,1899.0,"10J Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
8300000,4.0,5.0,2534.0,"16E Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
1460000,1.0,1.0,714.0,"11F Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
2540000,2.0,2.0,1420.0,"6L Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
2990000,3.0,2.0,1425.0,"11C Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
1399000,1.0,1.0,728.0,"7E Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
2195000,2.0,2.0,992.0,"9A Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
13500000,4.0,5.0,3677.0,"PHS Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
2545000,2.0,2.0,1226.0,"11L Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
8275000,4.0,5.0,2834.0,"16G Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
5825000,4.0,4.0,2082.0,"5H Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
1510000,1.0,1.0,743.0,"12G Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
7575000,4.0,4.0,2589.0,"10H Plan in 212 West 72nd Street,New York, NY 10023",True,212W72,,,
305000,0.0,1.0,450.0,"85-14 Broadway #5D,Elmhurst, NY 11373",True,CITY HOUSE REALTY INC.,40.7389383,-73.87802549759652,9.18429935151975
399000,2.0,1.0,1221.0,"31 Devon Loop #A,Staten Island, NY 10314",True,"ROBERT DEFALCO REALTY, INC.",40.5810669,-74.1610438,27.907831893505715
749900,4.0,3.0,2572.0,"316 York Ave,Staten Island, NY 10301",True,DITOMMASO REAL ESTATE,40.63864205,-74.08840752415828,19.170630138778424
595000,1.0,1.0,677.0,"342 E 110th St #6C,New York, NY 10029",True,COMPASS,40.7923117,-73.93899145040119,2.599248789854384
2250000,4.0,3.0,,"108 E 86th St #12N,New York, NY 10028",True,"YOREEVO, LLC",40.7796924,-73.9567274,1.1450743671537171
375000,2.0,2.0,,"800 Grand Concourse #2SN,Bronx, NY 10451",True,ENGEL & VÖLKERS NEW YORK REAL ESTATE,40.82486205,-73.92260592736525,5.862041447817652
1200000,9.0,7.0,,"439 E 45th St #1-6,Brooklyn, NY 11203",True,"MITRA HAKIMI REALTY GROUP, LLC",40.6508741,-73.93487028031203,15.169625388509688
995000,12.0,6.0,4200.0,"93-38 43rd Ave #6FAM,Elmhurst, NY 11373",True,OXFORD PROPERTY GROUP,40.7422709,-73.8782393,8.967557171160555
3000000,7.0,7.0,5080.0,"351 W 84th St #1,New York, NY 10024",True,SOTHEBY'S INTERNATIONAL REALTY,40.7884404,-73.98042072491164,1.089765364910693
